registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
43091,Um modelo de objetos baseado em CORBA para o gerenciamento distribuído de redes de computadores,"Lima, Rommel Wladimir de.",Redes de computadores,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
43093,Segurança contra falsificação de endereços IP na resolução de nomes no DNS,"Rodrigues, Vagner José do Sacramento.",Internet (Redes de computação),Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
43323,Segurança de dados em computação,"Katzan Júnior, Harry,",Processamento eletrônico de dados,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
44193,Impactos estratégicos da Internet no varejo :,"Bezerra, Wendy Karla Medeiros de Sousa.",Internet (Redes de computação),Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
44224,Reconstrução automática de modelos CAD tridimensionais a partir de vistas ortográficas,"Costa, Jean Carlos Ferreira.",Sistemas CAD/CAM,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
44228,Ordenação inicial de BDDs para a verificação automática de sistemas de transição finita,"Vidal, Jorgiano Márcio Bruno.",Algoritmos,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
44358,Impactos da adoção da Internet na hotelaria :,"Mendes Filho, Luiz Augusto Machado.",Internet,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
44465,Simulation modeling and analysis,"Law, Averill M.",Simulação (Computadores digitais),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
45811,FMTA :,"Pinheiro, Marcos César Madruga Alves.",Inteligência artificial,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
49970,Fatores influenciadores da implementação de ações de gestão de segurança da informação :,"Gabbay, Max Simon.",Tecnologia da informação -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
50053,Lógica difusa no controle de parâmetros do algoritmo genético para o problema do caixeiro viajante,"Cavalheiro, Andreia Philipp.",Algoritmos de computador,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
50102,Uma contribuição ao treinamento de perceptrons de múltiplas camadas usando retropropagação competitiva e processamento paralelo,"Alves, Robinson Luis de Souza.",Processamento de imagens,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
50224,Análise de desempenho em um cluster de PCs de múltiplos barramentos Ethernet,"Rocha Filho, Orlando Donato",Redes de computadores,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
50226,MKey :,"Rocha, Carlos Gustavo Araújo da",Informática,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
50263,Identificação de golfinhos através de técnicas de processamento inteligente de imagens,"Magalhães, Kaiser Magalde Costa",Processamento de imagens -,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
51259,Métodos de validação de sistemas digitais,,Hardware,Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
51638,Managing IP Networks with cisco routers,"Ballew, Scott M.",Redes de computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52320,e-Business essencial,"Derfler, Frank J.",Business,Livro,Biblioteca Central Zila Mamede,8,0,0,0,0,0,0.0
52557,Algoritmo SOM com estrutura hierárquica e dinâmica aplicado a compressão de imagens,"Barbalho, José Marinho.",Rede neural,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
52586,Um método para modificação de processos legados utilizando SPEM e processo unificado,"Rocha, Zalkind Lincoln Dantas",Software(Informática) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52688,Navegando na Internet com OS/2 Warp,"Tyson, Herbert L.",Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52721,A (R)Evolução do E-business :,"Amor, Daniel.",Internet(Redes de Computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52805,Contribuições à análise de robustez de sistemas de controle usando redes neurais,"Gabriel Filho, Oscar",Rede neural -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52914,Um ambiente de suporte ao trabalho cooperativo com aplicação à telemedicina,"Pacheco, Alessandra Mendes",Multimídia -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
52952,Por dentro da bolha :,"Veras, Paulo.",Internet (Rede de computadores) -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
53261,Une approche formelle pour la conception et la verification de documents hypermedia,"Saibel-Santos, Celso Alberto",World Wide Web (Sistemas de recuperação da informação) -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
53691,As melhores rotinas:,"Hardman, John.",Sinclair ZX Spectrum (Computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
54209,Uma ferramenta para suporte formal à evolução e reutilização para linguagens de especificação algébrica com semântica inicial,"Oliveira, Anderson Santana de.",Linguagem de programação -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
54237,Algoritmo simulated annealing híbrido para o problema de roteamento de veículos com frota heterogênea,"Lima, Carlos Magno Reinert da Rocha.",Algoritmo -,Dissertação,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
54560,O desafio estratégico do turismo com a adoção da Internet :,"Pereira, Dione dos Santos",Internet -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
55767,A gestão municipal através de tecnologias de geoprocessamento e cadastro urbano :,"Cunha, José de Arimatéia da.",Prefeitura de Serra Negra do Norte -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
56464,Infra-estrutura para avaliação e testes de protocolos sociais de comunicação em ambientes tridimensionais compartilhados,"Tavares, Tatiana Aires",Multimídia -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
56466,O uso da Internet no setor de hotelaria :,"Lobianco, Márcia Moura Leite.",Administração -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
56592,PUPSI :,"Anjos, Ivano Miranda dos.",Segurança da informação -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
56831,Especificação formal de mecanismos de sincronização em aplicações multimídia baseadas no PREMO,"Ribeiro, Claudia Maria Fernandes Araújo.",Multimídia -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
56840,Qualidade do serviço de informação digital :,"Oliveira, Adriana Carla Silva de.",Tecnologias da informação -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
57007,C Library bibliotecas,"Jamsa, Kris A.,",C (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
57009,Conceitos de linguagens de programação,"Ghezzi, Carlo.",Linguagem de programação (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
57013,Gerando gráficos em CLIPPER com C,"Ramos, Álvaro Luiz Arouche Carneiro.",C (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57090,Arquiteturas paralelas avançadas,"Fernandes, Edil S. T.",Computação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57091,Introduccion a la domotica,"Angel, Patricia Marta.",Automação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57092,Proyecto de una matriz de componentes :,"Cuervo Diaz, Pedro.",Circuitos integrados,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57096,Fundamentos da arquitetura e organização dos microprocessadores,"Zuffo, João Antonio,",Microcomputadores,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57097,Computação analógica,"Santos, José Abel Royo dos.",Computadores analógicos,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57100,Projetos VLSI e seu suporte computacional,"Liesenberg, Hans Kurt Edmond.",Programa -,Livro,Biblioteca Central Zila Mamede,4,0,0,0,0,0,0.0
57101,Automatic data processing :,"Awad, Elias M.",Processamento eletrônico de dados,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57102,Application prototyping : a requirements definition strategy for the 80s,"Boar, Bernard H.,",Sistemas de informação gerencial,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57104,Processamento e análise de imagens,"Facon, Jacques.",Processamento de imagens,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57108,Processadores pipeline e processamento vetorial,"Navaux, Philippe O. A.",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57109,Minicomputadores :,"Eadie, Donald.",Software -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
57111,Microprocessadores 8080 e 8085,"Visconti, Antonio Carlos Jose Franceschini.",Intel 8080 (Microprocessador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
57112,Introdução à complexidade de algoritmos paralelos,"Terada, Routo.",Algoritmos,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
