id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,registro_sistema,circulavel,grupo_cdd
1379140,2023003901,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004 A474c,9855,True,primario_004
28157,L118641,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.42 B456p,9856,True,primario_004
1286026,2017038456,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 C435a,9862,True,primario_004
28164,L118647,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.421 C435a,9862,True,primario_004
1286025,2017038455,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 C435a,9862,True,primario_004
1286024,2017038454,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,ESPECIAL,004.421 C435a,9862,True,primario_004
28190,L118678,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.92 C738,9876,True,primario_004
29134,L120065,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.657 H288c,10334,True,primario_004
30317,L122440,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 P436f,10895,True,primario_004
30316,L122439,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 P436f,10895,True,primario_004
30315,L122438,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.43 P436f,10895,True,primario_004
30424,L122545,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.021 S448a 2.ed.,10936,True,primario_004
30490,L122651,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.43 K39c,10966,True,primario_004
30491,L122652,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 K39c,10966,True,primario_004
1190321,2014018906,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 K39c,10966,True,primario_004
30492,L122653,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 K39c,10966,True,primario_004
30493,X009526,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,REGULAR,004.43 K39c,10966,True,primario_004
1275860,2017035533,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.3 R791d,11007,True,primario_004
30577,L123034,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.083.72 W869g,11017,True,primario_004
32849,L126661,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.021 P659i 3.ed.,11968,True,primario_004
1259169,2017017048,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P644i,12074,True,primario_004
33478,L127495,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.72.057.4 A474p 2.ed.,12329,True,primario_004
33479,L127496,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.72.057.4 A474p 2.ed.,12329,True,primario_004
1426220,2025007341,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.7 A474p 2.ed.,12329,True,primario_004
33480,L127497,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.72.057.4 A474p 2.ed.,12329,True,primario_004
1096782,2013111551,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 C738,12335,True,primario_004
1427244,2025008479,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.7 A474r,12489,True,primario_004
33819,L127851,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004 C812i 1.ed.,12490,True,primario_004
33825,L130050,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004 C812i 1.ed.,12490,True,primario_004
33824,L130049,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004 C812i 1.ed.,12490,True,primario_004
1389498,1994017231,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,519.24:004 S797,12728,True,correlato_004
34222,X008704,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,519.24:004 S797,12728,True,correlato_004
1432514,2025016973,Acervo Circulante,Biblioteca Setorial do Centro Ciências Sociais Aplicadas - CCSA,REGULAR,021:004 R884i,12928,True,correlato_004
1232905,2016019516,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.:027.54 R884i,12928,True,primario_004
35957,L132155,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,811.111:004 G146i 3.ed.,13048,True,correlato_004
35521,L131123,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,811.111:004 G146i 3.ed.,13048,True,correlato_004
35524,L131126,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,811.111:004 G146i 3.ed.,13048,True,correlato_004
35525,L131127,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,811.111:004 G146i 3.ed.,13048,True,correlato_004
216174,L131277,Obras de Referência,Biblioteca Central Zila Mamede,ESPECIAL,004.42(038) W427d REF,15391,True,primario_004
216173,L131278,Obras de Referência,Biblioteca Central Zila Mamede,ESPECIAL,004.42(038) W427d REF,15391,True,primario_004
216175,L131279,Obras de Referência,Biblioteca Central Zila Mamede,ESPECIAL,004.42(038) W427d REF,15391,True,primario_004
41136,L150912,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004 C812i 2.ed.,16155,True,primario_004
39348,L162960,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C812i 2.ed.,16155,True,primario_004
39346,L162958,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C812i 2.ed.,16155,True,primario_004
41141,L157919,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C812i 2.ed.,16155,True,primario_004
39342,L149341,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C812i 2.ed.,16155,True,primario_004
