registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,assunto_lista,assunto_principal
172431,Análise de desempenho baseada em simulação de redes wirelessHART,,Redes sem fio -#$&Dissertação.#$&Simulador -#$&WirelessHART -#$&Dissertação.#$&Análise de desempenho -#$&Dissertação.#$&Wireless networks.#$&WirelessHART simulator.#$&Performance analysis.,"Nobre, Marcelo Henrique Ramalho.",Dissertação,1,2011.0,,,,"['Redes sem fio -', 'Dissertação', 'Simulador -', 'WirelessHART -', 'Dissertação', 'Análise de desempenho -', 'Dissertação', 'Wireless networks', 'WirelessHART simulator', 'Performance analysis']",Redes sem fio -
172473,Programming :,principles and practice using C++ /,C (Linguagem de programação de computador)#$&Programação (Computadores).,"Stroustrup, Bjarne.",Livro,9,2009.0,,"addison-Wesley,",,"['C (Linguagem de programação de computador)', 'Programação (Computadores)']",C (Linguagem de programação de computador)
172539,Geoprocessamento sem complicação,,Geoprocessamento#$&Sistema de Informações Geográficas (SIG)#$&Sensoriamento remoto.#$&Cartografia.,"Fitz, Paulo Roberto,",Livro,44,2008.0,,"Oficina de textos,",9788586238826,"['Geoprocessamento', 'Sistema de Informações Geográficas (SIG)', 'Sensoriamento remoto', 'Cartografia']",Geoprocessamento
172661,Lei do software e seu regulamento :,"Lei n. 9.609, de 19-2-98 /",Direitos autorais#$&Programas de computador#$&Legislação.#$&Software#$&Proteção.#$&Informática#$&Legislação.,,Livro,1,1999.0,1. ed. -,"Atlas,",,"['Direitos autorais', 'Programas de computador', 'Legislação', 'Software', 'Proteção', 'Informática', 'Legislação']",Direitos autorais
172714,Programming in prolog,,Prolog (Linguagem de programação de computador).#$&Linguagem de programação (Computadores).,"Clocksin, Willian F.",Livro,12,2003.0,5th ed. -,"Springer,",,"['Prolog (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",Prolog (Linguagem de programação de computador)
172824,Avaliação da informação de websites turísticos das cidades-sede da copa 2014,,Turismo -#$&Dissertação.#$&Informação -#$&Dissertação.#$&Internet -#$&Dissertação.#$&Website -#$&Dissertação.#$&Copa 2014 -#$&Dissertação.#$&Tourism.#$&Information.#$&Internet.#$&2014 FIFA World Cup,"Cacho, Andréa do Nascimento Barbosa.",Dissertação,2,2011.0,,,,"['Turismo -', 'Dissertação', 'Informação -', 'Dissertação', 'Internet -', 'Dissertação', 'Website -', 'Dissertação', 'Copa 2014 -', 'Dissertação', 'Tourism', 'Information', 'Internet', '2014 FIFA World Cup']",Turismo -
172839,Arquitetura de controladores fuzzy em redes foundation fieldbus,,Redes industriais foundation fieldbus -#$&Dissertação.#$&Lógica fuzzy -#$&Dissertação.#$&Controlador fuzzy -#$&Dissertação.#$&Foundation fieldbus.#$&Fuzzy logic.#$&Fuzzy controller.,"Martins, Daniel Lopes.",Dissertação,1,2011.0,,,,"['Redes industriais foundation fieldbus -', 'Dissertação', 'Lógica fuzzy -', 'Dissertação', 'Controlador fuzzy -', 'Dissertação', 'Foundation fieldbus', 'Fuzzy logic', 'Fuzzy controller']",Redes industriais foundation fieldbus -
172958,Atualizações em informática 2011,,Informática.,,Livro,4,2011.0,,"PUC-Rio ;#$&Sociedade Brasileira de Computação,",,['Informática'],Informática
173381,Digital citizenship in schools,,Inclusão digital -#$&Estados Unidos.#$&Tecnologia educacional.#$&Cidadania digital.,"Ribble, Mike.",Livro,3,2007.0,1st ed. -,"International Society for Technology in Education,",,"['Inclusão digital -', 'Estados Unidos', 'Tecnologia educacional', 'Cidadania digital']",Inclusão digital -
173422,Internet e competência tributária,,Competência tributária.#$&Internet.#$&Direito tributário.,"Oliveira, Júlio Maria de.",Livro,1,2001.0,,"Dialética,",,"['Competência tributária', 'Internet', 'Direito tributário']",Competência tributária
173429,Aprenda java agora,,Java (Linguagem de programação de computador).,"Davis, Stephen R.,",Livro,1,1997.0,,"Campus,",,['Java (Linguagem de programação de computador)'],Java (Linguagem de programação de computador)
173436,"CADD, projeto e desenho auxiliados por computador :","introdução, conceitos e aplicações /",Computação gráfica.#$&Projeto auxiliado por computador.#$&Sistemas CAD/CAM.#$&Desenho por computador.,"Voisinet, Donald D.,",Livro,2,1988.0,,"McGraw-Hill,",,"['Computação gráfica', 'Projeto auxiliado por computador', 'Sistemas CAD/CAM', 'Desenho por computador']",Computação gráfica
173534,Simulação computacional de medidas estereológicas em estruturas de metal duro (WC-Co),,Metais duros -#$&Tese.#$&Simulação computacional -#$&Tese.#$&Software -#$&Simulação dinâmica -#$&Tese.#$&Estereologia#$&Tese.#$&Hard metal.#$&Computer simulation.#$&Dynamic simulation.#$&Stereology.,"Esteves, Ezequias Matos.",Tese,1,2011.0,,,,"['Metais duros -', 'Tese', 'Simulação computacional -', 'Tese', 'Software -', 'Simulação dinâmica -', 'Tese', 'Estereologia', 'Tese', 'Hard metal', 'Computer simulation', 'Dynamic simulation', 'Stereology']",Metais duros -
173543,Estudo de obstáculos na ampliação do mercado da moda através da web,,E-commerce -#$&Dissertação.#$&Vestuário -#$&Moda#$&Dissertação.#$&Interação -#$&Vendas -#$&Consumidor -#$&Dissertação.,"Viana, Taciana Vicente.",Dissertação,1,2008.0,,,,"['E-commerce -', 'Dissertação', 'Vestuário -', 'Moda', 'Dissertação', 'Interação -', 'Vendas -', 'Consumidor -', 'Dissertação']",E-commerce -
173548,Joker :,um framework de animação para especificações formais/,Animação -#$&Dissertação.#$&Especificação formal -#$&Dissertação.#$&Java(Linguagem de programação) -#$&Dissertação.#$&Métodos formais -#$&Dissertação.#$&Animation.#$&Java (programming language).#$&Formal specifications.#$&Formal methods.,"Souza, Diego Henrique Oliveira de.",Dissertação,1,2011.0,,,,"['Animação -', 'Dissertação', 'Especificação formal -', 'Dissertação', 'Java(Linguagem de programação) -', 'Dissertação', 'Métodos formais -', 'Dissertação', 'Animation', 'Java (programming language)', 'Formal specifications', 'Formal methods']",Animação -
173657,Estudo dirigido :,algoritmos /,Algoritmos.#$&Programação (Computadores).#$&Linguagem de programação (Computadores).,"Manzano, José Augusto N. G.",Livro,1,2002.0,7. ed. -,"Érica,",,"['Algoritmos', 'Programação (Computadores)', 'Linguagem de programação (Computadores)']",Algoritmos
173753,Política de segurança de informações :,uma visão organizacional para a sua formulação /,Sistemas de informação -#$&Segurança.#$&Tecnologia da informação.#$&Empresas -#$&Redes de computadores.#$&Computadores -#$&Medidas de segurança.,"Albertin, Alberto Luiz.",Livro,11,2010.0,,"Elsevier,",,"['Sistemas de informação -', 'Segurança', 'Tecnologia da informação', 'Empresas -', 'Redes de computadores', 'Computadores -', 'Medidas de segurança']",Sistemas de informação -
173766,Introdução a objetos distribuídos com CORBA,,Sistemas operacionais distribuídos (Computadores).,"Riccioni, Paulo Roberto.",Livro,1,2000.0,,"Visual Books,",,['Sistemas operacionais distribuídos (Computadores)'],Sistemas operacionais distribuídos (Computadores)
173872,Um algoritmo híbrido para o problema de roteamento de veículos com frotas heterogêneas,,Metaheurística híbrida -#$&Dissertação.#$&Roteamento de veículos -#$&Problemas -#$&Dissertação.#$&Algorítmo memético -#$&Dissertação.#$&Hybrid metaheuristic.#$&Vehicle Routing.#$&Memetic algorithm.,"Ferreira, Vanessa Danielle Santos.",Dissertação,1,2011.0,,,,"['Metaheurística híbrida -', 'Dissertação', 'Roteamento de veículos -', 'Problemas -', 'Dissertação', 'Algorítmo memético -', 'Dissertação', 'Hybrid metaheuristic', 'Vehicle Routing', 'Memetic algorithm']",Metaheurística híbrida -
173887,JCircus 2.0 :,uma extensão da ferramenta de tradução de Circus para Java /,JCircus(Linguagem de programação de computador) -#$&Dissertação.#$&Tradutor -#$&Especificação formal -#$&Dissertação.#$&JCircus Language (computer programming).#$&Translator formal specifications.,"Barrocas, Samuel Lincoln Magalhães.",Dissertação,1,2011.0,,,,"['JCircus(Linguagem de programação de computador) -', 'Dissertação', 'Tradutor -', 'Especificação formal -', 'Dissertação', 'JCircus Language (computer programming)', 'Translator formal specifications']",JCircus(Linguagem de programação de computador) -
173903,Redes de computadores,,Redes de computadores.#$&Internet.,"Tanenbaum, Andrew S.,",Livro,51,2011.0,5. ed. -,"Pearson,",,"['Redes de computadores', 'Internet']",Redes de computadores
174091,"LTE, WIMAX, and WLAN network design, optimization and performance analysis",,LANs sem fio.#$&IEEE 802.16 (Padrão)#$&Sistemas de telecomunicação.,"Korowajczuk, Leonhard.",Livro,4,2011.0,,"Wiley,",,"['LANs sem fio', 'IEEE 802.16 (Padrão)', 'Sistemas de telecomunicação']",LANs sem fio
